resume_id,resume_text,target_role,years_experience,seniority
seed-1517,"Skills: Deep Learning, Machine Learning, NLP Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1519,"Skills: NLP, Machine Learning, Deep Learning Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1520,"Skills: Python, NLP, Deep Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1521,"Skills: Deep Learning, Machine Learning, Pandas Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1522,"Skills: Deep Learning, Pandas, Python Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1523,"Skills: Machine Learning, Python, NLP Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1524,"Skills: Machine Learning, Deep Learning, NLP Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1525,"Skills: Pandas, NLP, Machine Learning Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1526,"Skills: NLP, Python, Pandas Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1527,"Skills: Python, Pandas, Deep Learning Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1528,"Skills: NLP, Python, Pandas Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1529,"Skills: Pandas, Machine Learning, Python Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1530,"Skills: Deep Learning, Pandas, Machine Learning Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1531,"Skills: Machine Learning, NLP, Pandas Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1532,"Skills: Pandas, Deep Learning, NLP Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1533,"Skills: Deep Learning, NLP, Machine Learning Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1534,"Skills: Deep Learning, Machine Learning, Python Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1535,"Skills: Machine Learning, Python, Pandas Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1536,"Skills: Deep Learning, Python, Pandas Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1537,"Skills: Machine Learning, Deep Learning, Python Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1538,"Skills: Deep Learning, Python, Machine Learning Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1539,"Skills: Python, Deep Learning, Machine Learning Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1540,"Skills: Deep Learning, Machine Learning, Python Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1541,"Skills: Deep Learning, Machine Learning, Python Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1542,"Skills: Machine Learning, NLP, Pandas Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1543,"Skills: Deep Learning, NLP, Python Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1544,"Skills: Deep Learning, Python, Pandas Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1545,"Skills: NLP, Python, Machine Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1546,"Skills: Pandas, Deep Learning, NLP Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1547,"Skills: Pandas, Machine Learning, NLP Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1548,"Skills: Pandas, Deep Learning, Python Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1549,"Skills: Deep Learning, Python, Machine Learning Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1550,"Skills: Machine Learning, NLP, Python Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1551,"Skills: Python, NLP, Pandas Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1552,"Skills: Machine Learning, Pandas, Python Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1553,"Skills: Pandas, NLP, Machine Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1554,"Skills: Machine Learning, Deep Learning, NLP Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1555,"Skills: Deep Learning, Python, Pandas Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1556,"Skills: Machine Learning, Pandas, NLP Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1558,"Skills: Machine Learning, Deep Learning, NLP Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1559,"Skills: NLP, Python, Pandas Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1560,"Skills: Python, Machine Learning, Deep Learning Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1561,"Skills: Machine Learning, Pandas, NLP Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1562,"Skills: Machine Learning, Pandas, Deep Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1563,"Skills: NLP, Deep Learning, Machine Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1564,"Skills: Machine Learning, Python, NLP Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1565,"Skills: Python, Machine Learning, Deep Learning Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1568,"Skills: Python, Machine Learning, Pandas Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1569,"Skills: Pandas, Machine Learning, Deep Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1570,"Skills: Machine Learning, Deep Learning, Pandas Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1572,"Skills: Pandas, Deep Learning, Machine Learning Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1573,"Skills: NLP, Python, Machine Learning Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1574,"Skills: NLP, Deep Learning, Python Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1575,"Skills: Python, Machine Learning, NLP Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1576,"Skills: Machine Learning, Pandas, NLP Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1578,"Skills: Pandas, Deep Learning, NLP Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1579,"Skills: Deep Learning, Python, Pandas Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1580,"Skills: Machine Learning, NLP, Deep Learning Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1581,"Skills: Python, Deep Learning, NLP Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1582,"Skills: NLP, Pandas, Deep Learning Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1583,"Skills: Pandas, Deep Learning, NLP Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1585,"Skills: NLP, Pandas, Deep Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1587,"Skills: Deep Learning, Machine Learning, Python Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1588,"Skills: Deep Learning, NLP, Machine Learning Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1590,"Skills: Machine Learning, Pandas, NLP Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1591,"Skills: Deep Learning, Python, NLP Projects: Built ML model Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1593,"Skills: NLP, Python, Pandas Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1595,"Skills: Deep Learning, Pandas, Python Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1596,"Skills: NLP, Machine Learning, Python Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1597,"Skills: Python, Machine Learning, Deep Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1598,"Skills: Machine Learning, Pandas, NLP Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1600,"Skills: NLP, Deep Learning, Pandas Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1601,"Skills: Deep Learning, Python, Machine Learning Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1602,"Skills: Python, Deep Learning, Pandas Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1603,"Skills: NLP, Python, Deep Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1604,"Skills: Pandas, Python, Machine Learning Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1605,"Skills: NLP, Machine Learning, Pandas Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1606,"Skills: Pandas, NLP, Deep Learning Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1607,"Skills: Pandas, NLP, Deep Learning Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1608,"Skills: Deep Learning, NLP, Pandas Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1609,"Skills: Pandas, NLP, Deep Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1610,"Skills: Deep Learning, Pandas, Machine Learning Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1611,"Skills: Machine Learning, Pandas, Deep Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1612,"Skills: NLP, Deep Learning, Machine Learning Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1613,"Skills: Machine Learning, Pandas, Deep Learning Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1614,"Skills: Machine Learning, NLP, Python Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1615,"Skills: Machine Learning, Python, Pandas Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1616,"Skills: Machine Learning, Pandas, Python Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1617,"Skills: Deep Learning, Machine Learning, Pandas Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1618,"Skills: Machine Learning, Pandas, Deep Learning Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1620,"Skills: NLP, Pandas, Deep Learning Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1621,"Skills: Machine Learning, Pandas, Deep Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1622,"Skills: Machine Learning, Python, Deep Learning Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1623,"Skills: Python, Machine Learning, Pandas Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1624,"Skills: Deep Learning, Python, Machine Learning Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1626,"Skills: Python, NLP, Deep Learning Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1627,"Skills: Machine Learning, Pandas, Deep Learning Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1628,"Skills: Deep Learning, Python, Machine Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1629,"Skills: Machine Learning, Pandas, Python Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1630,"Skills: Pandas, Machine Learning, Python Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1632,"Skills: NLP, Pandas, Deep Learning Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1633,"Skills: Machine Learning, Deep Learning, Pandas Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1635,"Skills: Pandas, Deep Learning, Python Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1636,"Skills: Machine Learning, NLP, Deep Learning Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1637,"Skills: Deep Learning, Machine Learning, NLP Projects: Built ML model Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1638,"Skills: Python, Deep Learning, Pandas Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1639,"Skills: Pandas, Python, Deep Learning Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1640,"Skills: NLP, Deep Learning, Pandas Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1641,"Skills: Deep Learning, NLP, Pandas Projects: Built ML model Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1642,"Skills: Pandas, Machine Learning, NLP Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1643,"Skills: Deep Learning, Machine Learning, Pandas Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1644,"Skills: NLP, Pandas, Deep Learning Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1645,"Skills: Machine Learning, Pandas, Deep Learning Projects: Built ML model Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1646,"Skills: Machine Learning, Python, NLP Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1647,"Skills: Machine Learning, Python, Deep Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1648,"Skills: NLP, Deep Learning, Python Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1649,"Skills: Python, Pandas, Deep Learning Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1650,"Skills: Python, Deep Learning, Pandas Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1651,"Skills: NLP, Deep Learning, Pandas Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1652,"Skills: NLP, Pandas, Machine Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1653,"Skills: NLP, Pandas, Deep Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1654,"Skills: Machine Learning, Pandas, NLP Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1656,"Skills: Python, Pandas, Deep Learning Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1657,"Skills: Pandas, Machine Learning, Deep Learning Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1658,"Skills: Deep Learning, Pandas, Machine Learning Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1660,"Skills: NLP, Pandas, Machine Learning Projects: Built ML model Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1662,"Skills: Deep Learning, Machine Learning, Pandas Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1663,"Skills: Deep Learning, Machine Learning, Python Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1664,"Skills: NLP, Pandas, Machine Learning Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1665,"Skills: Machine Learning, NLP, Python Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1666,"Skills: NLP, Machine Learning, Deep Learning Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1667,"Skills: Python, Deep Learning, Pandas Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1668,"Skills: Pandas, Deep Learning, Python Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1669,"Skills: Python, Pandas, NLP Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1670,"Skills: Python, Machine Learning, NLP Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1671,"Skills: Pandas, NLP, Python Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1672,"Skills: Python, NLP, Deep Learning Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1673,"Skills: Machine Learning, Deep Learning, Python Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1674,"Skills: Pandas, NLP, Deep Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1675,"Skills: Deep Learning, Machine Learning, Python Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1676,"Skills: Pandas, Python, Deep Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1677,"Skills: NLP, Deep Learning, Pandas Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1678,"Skills: Python, Pandas, Machine Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1679,"Skills: NLP, Python, Machine Learning Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1680,"Skills: Deep Learning, NLP, Python Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1681,"Skills: Pandas, Python, Deep Learning Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1682,"Skills: Machine Learning, Pandas, NLP Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1683,"Skills: Pandas, Deep Learning, NLP Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1684,"Skills: Machine Learning, Python, Deep Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1685,"Skills: NLP, Deep Learning, Python Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1686,"Skills: Deep Learning, NLP, Pandas Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1687,"Skills: Pandas, NLP, Python Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1689,"Skills: Deep Learning, NLP, Pandas Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1690,"Skills: Pandas, Deep Learning, Machine Learning Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1691,"Skills: Python, Pandas, Deep Learning Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1692,"Skills: Pandas, Python, NLP Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1693,"Skills: NLP, Machine Learning, Python Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1694,"Skills: Machine Learning, Pandas, NLP Projects: Prediction system Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1696,"Skills: NLP, Python, Deep Learning Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1697,"Skills: Machine Learning, Pandas, NLP Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1698,"Skills: Pandas, Python, Machine Learning Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1700,"Skills: Machine Learning, Deep Learning, NLP Projects: NLP pipeline Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1701,"Skills: Pandas, NLP, Python Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1702,"Skills: Python, NLP, Deep Learning Projects: Built ML model Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
seed-1703,"Skills: NLP, Machine Learning, Pandas Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1704,"Skills: Python, Machine Learning, NLP Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1706,"Skills: Pandas, Machine Learning, Deep Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1708,"Skills: Python, Deep Learning, Machine Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1709,"Skills: Deep Learning, Python, Pandas Projects: NLP pipeline Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1711,"Skills: Python, Pandas, NLP Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1712,"Skills: Machine Learning, Python, Deep Learning Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1714,"Skills: Python, NLP, Machine Learning Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1715,"Skills: NLP, Pandas, Deep Learning Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1718,"Skills: NLP, Python, Deep Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1719,"Skills: Deep Learning, Python, Pandas Projects: Prediction system Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1721,"Skills: Pandas, Python, Deep Learning Projects: NLP pipeline Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1723,"Skills: Machine Learning, Python, Pandas Projects: Built ML model Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1724,"Skills: Deep Learning, NLP, Machine Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1726,"Skills: NLP, Machine Learning, Python Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1727,"Skills: Deep Learning, Pandas, NLP Projects: Built ML model Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1728,"Skills: Pandas, Machine Learning, NLP Projects: NLP pipeline Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
