target_role,student_id,age,gender,city,state,pincode,education_level,institution,institution_tier,major,graduation_year,gpa,gpa_rounded,skills,skills_count,has_python,has_java,has_javascript,has_sql,projects_count,projects,internships_count,internship_companies,has_internship,premium_internship,work_experience_years,experience_level,has_experience,certifications,certifications_count,has_certification,has_github,has_linkedin,online_presence_score,expected_salary_lpa,willing_to_relocate,preferred_locations,education_experience_score,skill_certification_score,overall_profile_score,data_version
Financial Analyst,STU006700,20,Male,Chennai,Tamil Nadu,426039,Bachelor's,Calcutta University,Tier-2,Commerce,2028,9.01,9,"Python, Valuation, Excel, Risk Analysis, Bloomberg, Financial Modeling, Accounting",7,1,0,0,0,5,Marketing Campaign - 2021 | Financial Model - 2020 | Financial Model - 2022 | Marketing Campaign - 2024 | Marketing Campaign - 2020,2,"Unacademy, Capgemini",1,0,0.0,Fresher,0,"Financial Modeling Certificate, NSE Certified",2,1,0,1,0.5,8.77,1,"Delhi-NCR, Hyderabad",0.9,1.17,0.66,0cd8875c
Mechanical Engineer,STU007558,20,Male,Jaipur,Rajasthan,149508,Bachelor's,BITS Pilani,Tier-2,Automobile Engineering,2028,6.15,6,"Thermodynamics, SolidWorks, Manufacturing, AutoCAD, CATIA, FEA, Fluid Mechanics",7,0,0,0,0,5,Bridge Design - 2020 | Bridge Design - 2021 | Circuit Design - 2020 | Bridge Design - 2020 | Thermal Analysis - 2021,1,Bosch,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,6.75,0,Hyderabad,0.61,0.7,0.47,0cd8875c
Financial Analyst,STU001875,22,Male,Lucknow,Uttar Pradesh,437876,Bachelor's,NMIMS,Tier-2,Economics,2026,7.29,7,"Financial Modeling, Excel, Risk Analysis, Accounting, Python, Bloomberg, Valuation",7,1,0,0,0,4,Market Analysis - 2021 | Market Analysis - 2024 | Marketing Campaign - 2020 | Financial Model - 2023,3,"Capgemini, Unacademy, CRED",1,0,0.8,Junior,1,"NSE Certified, FRM Certification",2,1,0,1,0.5,10.89,1,"Mumbai, Hyderabad",0.85,1.17,0.63,0cd8875c
Software Engineer,STU006924,20,Female,Lucknow,Uttar Pradesh,240390,Master's,NIT Allahabad,Tier-2,Computer Science,2025,8.81,9,"REST APIs, Python, SQL, Git, C++, Microservices, Algorithms",7,1,0,0,1,2,Task Manager - 2021 | Weather App - 2020,3,"Amazon, Dream11, Flipkart",1,1,1.3,Junior,1,"AWS Certified Developer, Microsoft Certified: Azure Developer, Oracle Certified Professional",3,1,1,0,0.5,14.83,1,"Delhi-NCR, Chennai, Hyderabad",1.11,1.4,0.74,0cd8875c
UX Designer,STU002597,20,Female,Pune,Maharashtra,460908,Bachelor's,NIT Trichy,Tier-2,Design,2027,8.37,8,"Adobe XD, Prototyping, Figma, Sketch, Wireframing, User Research, Information Architecture, Usability Testing",8,0,0,0,0,2,Social Media App - 2021 | Weather App - 2023,1,SAP,1,0,0.0,Fresher,0,HFI Certification,1,1,1,1,1.0,9.84,1,Mumbai,0.84,1.07,0.62,0cd8875c
Product Manager,STU007407,19,Female,Hyderabad,Telangana,793714,Master's,IIM Bangalore,Tier-1,Computer Science,2027,9.21,9,"Market Research, User Stories, Analytics, Product Strategy, Agile, MVP Development, JIRA, Wireframing",8,0,0,0,0,5,Market Analysis - 2024 | HR Policy - 2021 | HR Policy - 2023 | HR Policy - 2023 | Marketing Campaign - 2020,1,SAP,1,0,0.0,Fresher,0,Certified Scrum Product Owner,1,1,0,1,0.5,28.57,1,"Pune, Chennai",0.92,1.07,0.64,0cd8875c
Machine Learning Engineer,STU004201,26,Male,Ahmedabad,Gujarat,649758,Master's,IIT Hyderabad,Tier-1,Computer Science,2027,7.84,8,"Computer Vision, TensorFlow, Python, Keras, Scikit-learn, PyTorch, Deep Learning, MLOps, NLP",9,1,0,0,0,2,E-commerce Platform - 2023 | Social Media App - 2021,0,None,0,0,0.0,Fresher,0,NVIDIA DLI Certifications,1,1,1,1,1.0,18.63,1,"Hyderabad, Mumbai",0.78,1.2,0.63,0cd8875c
Civil Engineer,STU001873,20,Male,Bangalore,Karnataka,269296,Bachelor's,IIT Roorkee,Tier-1,Civil Engineering,2025,7.02,7,"STAAD Pro, Construction Management, Surveying, AutoCAD, Structural Analysis, Revit, Project Management",7,0,0,0,0,2,Bridge Design - 2020 | Circuit Design - 2022,2,"Bajaj Auto, Bajaj Auto",1,0,1.4,Junior,1,"Project Management Professional, OSHA Certification, AutoCAD Certified Professional",3,1,0,1,0.5,5.98,1,"Mumbai, Delhi-NCR",0.9,1.4,0.69,0cd8875c
Electrical Engineer,STU005409,23,Female,Delhi,Delhi,235314,Bachelor's,IIT Delhi,Tier-1,Electronics Engineering,2028,9.43,9,"Embedded Systems, MATLAB, PLC, VLSI, Power Systems, Simulink, Circuit Design",7,0,0,0,0,3,Circuit Design - 2022 | Bridge Design - 2022 | Thermal Analysis - 2020,1,L&T,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,8.15,0,Hyderabad,0.94,0.7,0.57,0cd8875c
Product Manager,STU005519,25,Female,Lucknow,Uttar Pradesh,708835,Bachelor's,St. Stephens Delhi,Tier-2,Business Administration,2028,8.68,9,"MVP Development, JIRA, User Stories, Agile, Analytics, Wireframing",6,0,0,0,0,3,Financial Model - 2023 | Financial Model - 2020 | Financial Model - 2022,0,None,0,0,0.0,Fresher,0,"Certified Scrum Product Owner, Product School Certification",2,1,0,1,0.5,14.1,1,Bangalore,0.87,1.0,0.62,0cd8875c
Mechanical Engineer,STU004157,26,Female,Mumbai,Maharashtra,280662,Bachelor's,IIT Roorkee,Tier-1,Mechanical Engineering,2028,8.7,9,"CATIA, SolidWorks, AutoCAD, Thermodynamics, Manufacturing, Fluid Mechanics",6,0,0,0,0,5,Thermal Analysis - 2020 | Building Plan - 2024 | Bridge Design - 2021 | Circuit Design - 2020 | Circuit Design - 2024,1,L&T,1,0,0.0,Fresher,0,SolidWorks Certified Professional,1,1,0,1,0.5,7.83,0,Mumbai,0.87,0.8,0.57,0cd8875c
Marketing Specialist,STU007539,20,Male,Pune,Maharashtra,478473,Bachelor's,Ashoka University,Tier-2,Mass Communication,2026,6.08,6,"Social Media, PPC, Email Marketing, SEO, Google Analytics, Brand Management, Content Marketing",7,0,0,0,0,5,Financial Model - 2021 | Marketing Campaign - 2020 | Market Analysis - 2022 | Marketing Campaign - 2022 | Marketing Campaign - 2023,3,"Rivigo, EY, CRED",1,0,0.9,Junior,1,"Google Analytics Certification, HubSpot Content Marketing",2,1,0,1,0.5,7.93,0,Chennai,0.72,1.17,0.6,0cd8875c
Software Engineer,STU000459,22,Female,Ahmedabad,Gujarat,974002,Bachelor's,NIT Jaipur,Tier-2,Information Technology,2028,7.92,8,"Python, Algorithms, Docker, REST APIs, Java, Git, C++, Data Structures",8,1,1,0,0,5,Task Manager - 2020 | Task Manager - 2021 | Weather App - 2023 | Task Manager - 2024 | Social Media App - 2023,1,Directi,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,9.19,1,"Hyderabad, Delhi-NCR",0.79,0.8,0.56,0cd8875c
Research Scientist,STU005346,22,Female,Chennai,Tamil Nadu,121300,PhD,Delhi University,Tier-2,Physics,2027,6.21,6,"Research Methodology, Data Analysis, Technical Writing, Lab Techniques, Grant Writing, R, Python",7,1,0,0,0,3,Research Paper - 2023 | Lab Experiment - 2024 | Research Paper - 2023,1,PwC,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,11.59,0,Hyderabad,0.62,0.7,0.47,0cd8875c
Business Analyst,STU004403,24,Male,Bangalore,Karnataka,607250,Master's,IIM Raipur,Tier-1,MBA,2027,9.02,9,"Requirements Gathering, Power BI, SQL, Data Analysis, Tableau, Visio, Excel, Stakeholder Management",8,0,0,0,1,3,Marketing Campaign - 2022 | Market Analysis - 2020 | Market Analysis - 2024,0,None,0,0,0.0,Fresher,0,Google Data Analytics,1,1,0,1,0.5,12.44,1,"Bangalore, Mumbai",0.9,1.07,0.64,0cd8875c
Data Scientist,STU008935,22,Female,Mumbai,Maharashtra,748970,Bachelor's,IIT Kharagpur,Tier-1,Mathematics,2026,7.11,7,"TensorFlow, R, Python, Statistics, NumPy, Machine Learning, Data Visualization",7,1,0,0,0,4,E-commerce Platform - 2023 | Weather App - 2021 | E-commerce Platform - 2024 | Task Manager - 2022,3,"InMobi, PwC, Wipro",1,0,0.7,Junior,1,None,0,0,0,1,0.5,11.92,1,"Mumbai, Bangalore",0.81,0.7,0.52,0cd8875c
Software Engineer,STU005411,24,Female,Jaipur,Rajasthan,158067,Bachelor's,IIT Guwahati,Tier-1,Information Technology,2028,8.61,9,"Python, C++, Data Structures, SQL, Docker, Microservices, Git",7,1,0,0,1,2,E-commerce Platform - 2021 | Weather App - 2021,0,None,0,0,0.0,Fresher,0,"Google Cloud Developer, Oracle Certified Professional",2,1,1,1,1.0,11.06,1,"Chennai, Delhi-NCR, Hyderabad",0.86,1.17,0.65,0cd8875c
Electrical Engineer,STU008495,21,Male,Pune,Maharashtra,362934,Bachelor's,NIT Calicut,Tier-2,Electrical Engineering,2024,6.95,7,"Simulink, MATLAB, Circuit Design, Embedded Systems, PLC, Power Systems, VLSI",7,0,0,0,0,4,Bridge Design - 2020 | Thermal Analysis - 2020 | Bridge Design - 2020 | Thermal Analysis - 2021,3,"Siemens, Schneider Electric, ABB",1,0,2.6,Mid-Level,1,"PLC Programming Certificate, Certified Automation Professional",2,1,0,1,0.5,6.21,0,"Delhi-NCR, Mumbai",1.06,1.17,0.67,0cd8875c
Research Scientist,STU006861,22,Female,Mumbai,Maharashtra,761367,Bachelor's,Xavier's Mumbai,Tier-2,Chemistry,2026,6.88,7,"Data Analysis, Python, R, Technical Writing, Research Methodology, Grant Writing, Lab Techniques",7,1,0,0,0,4,Research Paper - 2023 | Lab Experiment - 2021 | Lab Experiment - 2021 | Data Collection - 2021,4,"Razorpay, PwC, EY, Accenture",1,0,0.1,Junior,1,None,0,0,0,1,0.5,7.37,1,"Chennai, Pune, Mumbai",0.7,0.7,0.5,0cd8875c
Business Analyst,STU008136,19,Male,Pune,Maharashtra,223504,Master's,IIM Ahmedabad,Tier-1,Statistics,2025,7.66,8,"Tableau, Stakeholder Management, Data Analysis, SQL, Visio, Requirements Gathering, Power BI, Excel",8,0,0,0,1,4,HR Policy - 2024 | Marketing Campaign - 2021 | Market Analysis - 2023 | Financial Model - 2020,2,"EY, Deloitte",1,0,1.0,Junior,1,None,0,0,0,1,0.5,10.66,0,"Pune, Delhi-NCR",0.92,0.8,0.58,0cd8875c
Electrical Engineer,STU002013,19,Female,Chennai,Tamil Nadu,381143,Bachelor's,IIT Bombay,Tier-1,Electrical Engineering,2024,8.65,9,"Embedded Systems, MATLAB, Power Systems, PLC, Simulink, Circuit Design",6,0,0,0,0,3,Thermal Analysis - 2020 | Building Plan - 2022 | Building Plan - 2024,2,"Tata Motors, Bajaj Auto",1,0,2.0,Mid-Level,1,Certified Automation Professional,1,1,0,1,0.5,8.89,0,"Mumbai, Pune, Delhi-NCR",1.21,0.8,0.63,0cd8875c
Research Scientist,STU006491,18,Female,Pune,Maharashtra,161757,PhD,JNU,Tier-2,Biotechnology,2025,7.08,7,"Technical Writing, Data Analysis, Lab Techniques, Research Methodology, R, Grant Writing",6,0,0,0,0,3,Data Collection - 2020 | Lab Experiment - 2024 | Data Collection - 2023,1,PwC,1,0,1.0,Junior,1,None,0,0,0,1,0.5,12.94,0,"Hyderabad, Mumbai, Delhi-NCR",0.85,0.6,0.5,0cd8875c
UX Designer,STU000206,23,Female,Lucknow,Uttar Pradesh,554894,Bachelor's,NIT Warangal,Tier-2,Design,2024,6.38,6,"Information Architecture, Adobe XD, Prototyping, Wireframing, Sketch, Usability Testing, User Research, Figma",8,0,0,0,0,5,Weather App - 2022 | Weather App - 2022 | E-commerce Platform - 2020 | E-commerce Platform - 2020 | E-commerce Platform - 2023,3,"VMware, Dream11, Microsoft",1,1,2.5,Mid-Level,1,"HFI Certification, NN/g UX Certification, Google UX Design Professional",3,1,1,1,1.0,8.33,1,"Pune, Chennai",0.96,1.6,0.73,0cd8875c
Electrical Engineer,STU003025,20,Male,Jaipur,Rajasthan,144007,Bachelor's,SRM University,Tier-2,Electronics Engineering,2027,7.54,8,"Embedded Systems, Circuit Design, Simulink, VLSI, PLC, MATLAB",6,0,0,0,0,2,Building Plan - 2022 | Thermal Analysis - 2024,1,Siemens,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,5.74,1,Bangalore,0.75,0.6,0.48,0cd8875c
Research Scientist,STU004111,21,Male,Kolkata,West Bengal,877241,Master's,St. Stephens Delhi,Tier-2,Physics,2027,7.7,8,"R, Research Methodology, Technical Writing, Data Analysis, Python, Lab Techniques, Grant Writing",7,1,0,0,0,4,Lab Experiment - 2022 | Data Collection - 2021 | Data Collection - 2021 | Data Collection - 2023,1,TCS,1,0,0.0,Fresher,0,"ICH Guidelines, Good Laboratory Practices, Clinical Research Certification",3,1,0,1,0.5,11.88,0,Delhi-NCR,0.77,1.4,0.67,0cd8875c
Software Engineer,STU001442,21,Female,Mumbai,Maharashtra,270284,Master's,IIIT Bangalore,Tier-2,Computer Science,2026,8.1,8,"Python, Java, Docker, Microservices, Algorithms, C++, SQL, Data Structures, Git",9,1,1,0,1,4,Task Manager - 2020 | Task Manager - 2020 | E-commerce Platform - 2023 | Weather App - 2020,2,"TCS, Wipro",1,0,0.1,Junior,1,Google Cloud Developer,1,1,1,1,1.0,10.1,1,"Bangalore, Delhi-NCR, Chennai",0.83,1.2,0.64,0cd8875c
Software Engineer,STU000490,22,Female,Pune,Maharashtra,356842,Bachelor's,IIIT Bangalore,Tier-2,Software Engineering,2028,6.89,7,"Data Structures, Git, Java, Python, SQL, Docker, REST APIs",7,1,1,0,1,2,E-commerce Platform - 2024 | E-commerce Platform - 2022,0,None,0,0,0.0,Fresher,0,Oracle Certified Professional,1,1,1,1,1.0,7.88,1,"Mumbai, Bangalore",0.69,0.93,0.55,0cd8875c
Machine Learning Engineer,STU004621,25,Male,Ahmedabad,Gujarat,561900,Bachelor's,IIT Bombay,Tier-1,Computer Science,2028,9.01,9,"Computer Vision, TensorFlow, Python, Deep Learning, Scikit-learn, MLOps, PyTorch",7,1,0,0,0,3,E-commerce Platform - 2021 | Task Manager - 2024 | Task Manager - 2020,1,EY,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,15.96,1,"Pune, Delhi-NCR",0.9,0.7,0.56,0cd8875c
Research Scientist,STU008485,19,Female,Hyderabad,Telangana,259790,Master's,St. Stephens Delhi,Tier-2,Biotechnology,2025,7.45,7,"Python, Grant Writing, Data Analysis, Research Methodology, R, Lab Techniques, Technical Writing",7,1,0,0,0,3,Data Collection - 2022 | Data Collection - 2023 | Lab Experiment - 2021,1,Ola Electric,1,0,1.9,Junior,1,"Research Ethics Certification, Clinical Research Certification",2,1,0,1,0.5,9.1,0,"Mumbai, Pune",1.03,1.17,0.67,0cd8875c
UX Designer,STU007991,18,Female,Hyderabad,Telangana,958229,Bachelor's,Manipal University,Tier-2,HCI,2025,7.61,8,"Wireframing, Usability Testing, Prototyping, User Research, Information Architecture, Sketch, Figma",7,0,0,0,0,2,Social Media App - 2022 | Task Manager - 2022,2,"Paytm, PhonePe",1,0,1.7,Junior,1,Adobe Certified Professional,1,1,1,1,1.0,7.84,1,"Bangalore, Mumbai, Delhi-NCR",1.02,0.93,0.62,0cd8875c
Product Manager,STU008230,20,Male,Delhi,Delhi,177351,Master's,IIM Kozhikode,Tier-1,Computer Science,2027,8.55,9,"Product Strategy, Analytics, Agile, Wireframing, Market Research, User Stories, JIRA",7,0,0,0,0,5,Marketing Campaign - 2024 | Financial Model - 2024 | Financial Model - 2023 | HR Policy - 2020 | Financial Model - 2023,1,Unacademy,1,0,0.0,Fresher,0,Google Project Management,1,1,0,1,0.5,22.64,0,"Pune, Mumbai, Bangalore",0.86,0.93,0.6,0cd8875c
Web Developer,STU005425,25,Female,Bangalore,Karnataka,524536,Bachelor's,NIT Rourkela,Tier-2,Web Development,2027,6.19,6,"Node.js, CSS, Express, JavaScript, HTML, TypeScript, Git, React, Redux",9,0,0,1,0,2,E-commerce Platform - 2020 | Task Manager - 2021,1,TCS,1,0,0.0,Fresher,0,Google UX Design,1,1,1,1,1.0,8.09,1,"Hyderabad, Chennai",0.62,1.2,0.58,0cd8875c
Machine Learning Engineer,STU004291,19,Female,Hyderabad,Telangana,882750,Bachelor's,VIT Vellore,Tier-2,Data Science,2027,8.17,8,"NLP, MLOps, Deep Learning, Python, Scikit-learn, Computer Vision",6,1,0,0,0,3,Weather App - 2024 | Task Manager - 2022 | E-commerce Platform - 2024,0,None,0,0,0.0,Fresher,0,None,0,0,1,1,1.0,10.82,1,"Hyderabad, Delhi-NCR, Chennai",0.82,0.6,0.5,0cd8875c
UX Designer,STU000195,21,Male,Jaipur,Rajasthan,514254,Bachelor's,IIT Guwahati,Tier-1,Design,2026,7.91,8,"Usability Testing, Prototyping, Adobe XD, Figma, User Research, Wireframing",6,0,0,0,0,5,Social Media App - 2020 | Task Manager - 2024 | Task Manager - 2020 | E-commerce Platform - 2021 | Weather App - 2022,3,"Cisco, Swiggy, Razorpay",1,0,0.2,Junior,1,None,0,0,1,1,1.0,7.93,0,"Mumbai, Pune, Delhi-NCR",0.82,0.6,0.5,0cd8875c
Electrical Engineer,STU007510,20,Female,Bangalore,Karnataka,729832,Master's,IIT Kharagpur,Tier-1,Electronics Engineering,2027,8.78,9,"Simulink, PLC, Embedded Systems, MATLAB, VLSI, Circuit Design, Power Systems",7,0,0,0,0,4,Thermal Analysis - 2021 | Thermal Analysis - 2023 | Circuit Design - 2020 | Circuit Design - 2021,1,Samsung,1,0,0.0,Fresher,0,Certified Automation Professional,1,1,0,1,0.5,9.5,1,"Bangalore, Hyderabad",0.88,0.93,0.6,0cd8875c
UX Designer,STU008687,25,Female,Pune,Maharashtra,732754,Bachelor's,SRM University,Tier-2,HCI,2024,7.82,8,"Prototyping, Adobe XD, Figma, Wireframing, Information Architecture, Sketch",6,0,0,0,0,5,Task Manager - 2021 | Social Media App - 2020 | Weather App - 2024 | Social Media App - 2023 | E-commerce Platform - 2023,3,"PhonePe, Dream11, SAP",1,0,2.6,Mid-Level,1,Google UX Design Professional,1,1,1,1,1.0,10.21,0,"Pune, Chennai, Mumbai",1.19,0.8,0.62,0cd8875c
HR Generalist,STU000177,24,Male,Mumbai,Maharashtra,419987,Bachelor's,St. Stephens Delhi,Tier-2,Business Administration,2027,6.01,6,"Performance Management, Recruitment, Communication, HR Policies, Employee Relations, Training, Excel",7,0,0,0,0,4,Marketing Campaign - 2023 | Financial Model - 2021 | Marketing Campaign - 2023 | Marketing Campaign - 2021,2,"IBM, EY",1,0,0.0,Fresher,0,"HR Analytics Certification, HRCI Certification",2,1,0,1,0.5,5.69,1,"Hyderabad, Pune, Bangalore",0.6,1.17,0.57,0cd8875c
Software Engineer,STU002545,25,Male,Jaipur,Rajasthan,686874,Bachelor's,NIT Trichy,Tier-2,Computer Science,2028,6.29,6,"Docker, Data Structures, Algorithms, Java, Git, Python, SQL, Microservices, C++",9,1,1,0,1,2,Social Media App - 2021 | Task Manager - 2020,1,Google,1,1,0.0,Fresher,0,"Google Cloud Developer, Microsoft Certified: Azure Developer",2,1,0,1,0.5,9.4,1,"Hyderabad, Bangalore",0.63,1.5,0.64,0cd8875c
Machine Learning Engineer,STU006045,18,Female,Jaipur,Rajasthan,196498,Bachelor's,IIT Kanpur,Tier-1,Data Science,2027,7.46,7,"NLP, Computer Vision, Scikit-learn, Python, TensorFlow, Deep Learning, PyTorch, Keras, MLOps",9,1,0,0,0,5,Weather App - 2021 | E-commerce Platform - 2024 | Task Manager - 2021 | E-commerce Platform - 2023 | Task Manager - 2021,1,IBM,1,0,0.0,Fresher,0,Azure AI Engineer,1,1,0,1,0.5,12.37,0,"Pune, Mumbai",0.75,1.2,0.62,0cd8875c
Product Manager,STU008377,20,Female,Lucknow,Uttar Pradesh,434991,Master's,IIM Trichy,Tier-1,Business Administration,2026,8.73,9,"Product Strategy, User Stories, Wireframing, JIRA, Analytics, Market Research",6,0,0,0,0,2,HR Policy - 2024 | Marketing Campaign - 2022,2,"IBM, Capgemini",1,0,0.4,Junior,1,None,0,0,0,1,0.5,31.3,1,"Mumbai, Chennai",0.94,0.6,0.53,0cd8875c
HR Generalist,STU007869,26,Female,Lucknow,Uttar Pradesh,988334,Bachelor's,Madras University,Tier-2,Psychology,2028,7.03,7,"Performance Management, Recruitment, Training, HR Policies, Excel, Communication, Employee Relations",7,0,0,0,0,5,Marketing Campaign - 2021 | Marketing Campaign - 2020 | Market Analysis - 2024 | Marketing Campaign - 2023 | Marketing Campaign - 2021,2,"Groww, Meesho",1,0,0.0,Fresher,0,"LinkedIn Recruiter Certification, HRCI Certification",2,1,0,1,0.5,6.16,1,Hyderabad,0.7,1.17,0.6,0cd8875c
Research Scientist,STU004083,22,Female,Hyderabad,Telangana,967125,Bachelor's,Pune University,Tier-2,Physics,2025,7.04,7,"R, Lab Techniques, Technical Writing, Python, Research Methodology, Grant Writing",6,1,0,0,0,2,Lab Experiment - 2024 | Lab Experiment - 2023,2,"CRED, Cisco",1,0,1.3,Junior,1,Clinical Research Certification,1,1,0,1,0.5,8.53,0,"Bangalore, Pune, Hyderabad",0.89,0.8,0.56,0cd8875c
Mechanical Engineer,STU006176,22,Female,Lucknow,Uttar Pradesh,545289,Bachelor's,IIT Kharagpur,Tier-1,Automobile Engineering,2026,9.19,9,"FEA, SolidWorks, AutoCAD, CATIA, Fluid Mechanics, Thermodynamics, Manufacturing",7,0,0,0,0,2,Circuit Design - 2023 | Building Plan - 2021,2,"L&T, Bajaj Auto",1,0,0.7,Junior,1,ASME Certification,1,1,0,1,0.5,4.99,0,Bangalore,1.05,0.93,0.63,0cd8875c
Software Engineer,STU000969,23,Male,Hyderabad,Telangana,918253,Bachelor's,NIT Rourkela,Tier-2,Software Engineering,2027,6.42,6,"Docker, Git, SQL, REST APIs, Algorithms, Microservices, Data Structures",7,0,0,0,1,2,Task Manager - 2021 | Weather App - 2023,0,None,0,0,0.0,Fresher,0,Google Cloud Developer,1,1,0,1,0.5,10.98,1,"Hyderabad, Pune",0.64,0.93,0.53,0cd8875c
